Segment,customers,total_revenue,avg_recency,avg_frequency,avg_monetary,customers_share_%,revenue_share_%
Champions,67,130335.31,18.16417910447761,12.08955223880597,1945.3031343283583,18.61111111111111,44.88094654340227
Sleeping Customers,70,76097.31,171.07142857142858,7.614285714285714,1087.1044285714286,19.444444444444446,26.204098507202005
Lost Customers,22,29236.95,312.1818181818182,8.5,1328.9522727272727,6.111111111111111,10.067739816954631
High check Customers,44,20988.3,442.75,4.5,477.0068181818182,12.222222222222221,7.227318294151369
New Customers,64,12533.93,23.09375,1.875,195.84265625,17.77777777777778,4.316057116899066
Regular Customers,78,11384.97,521.6666666666666,1.9230769230769231,145.96115384615385,21.666666666666668,3.9204128947730164
Loyal Customers,13,9300.53,24.153846153846153,6.538461538461538,715.4253846153847,3.6111111111111107,3.202636259930706
Needs Attention,2,525.02,152.5,2.5,262.51,0.5555555555555556,0.18079056668693277
